
LIMIT_BAL	SEX	EDUCATION	MARRIAGE	AGE	PAY_0	PAY_2	PAY_3	PAY_4	PAY_5	PAY_6	BILL_AMT1	BILL_AMT2	BILL_AMT3	BILL_AMT4	BILL_AMT5	BILL_AMT6	PAY_AMT1	PAY_AMT2	PAY_AMT3	PAY_AMT4	PAY_AMT5	PAY_AMT6	default payment next month
30000	2	2	1	42	0	0	0	0	0	0	47912	25023	25768	26410	27960	46254	1755	1500	1000	1909	1000	2000	0
360000	2	1	1	30	1	2	-1	0	-1	-1	18886	14249	3821	2404	319	0	0	3828	2000	319	0	0	0
170000	1	2	1	42	1	-1	-1	-2	-2	-1	0	1690	0	0	0	4750	1690	0	0	0	4750	0	0
400000	2	1	2	31	-2	-2	-2	-2	-2	-2	203	767	664	1250	-10	2174	770	667	1256	0	2184	0	0
50000	2	2	1	49	0	0	0	0	0	0	34962	32275	31253	32014	33573	29645	1613	2000	1500	2000	1645	1064	0
160000	2	2	2	27	0	0	0	0	0	0	80964	80337	82182	82586	85145	87049	4000	4000	3500	4000	4000	2500	0
70000	2	2	1	33	0	0	0	0	0	0	69418	68943	38783	3758	1261	0	2382	2025	1000	25	0	1651	1
150000	2	1	1	35	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
80000	2	2	2	48	0	0	0	0	0	0	45174	41885	42832	23799	11723	27236	3000	3413	2000	5000	17236	2000	0
30000	2	2	2	22	0	0	2	0	0	0	23892	28459	25499	25778	28708	30520	5300	0	1000	3352	2300	0	0
10000	1	2	2	22	0	0	0	0	0	0	7960	9649	8518	8628	9293	5033	2000	1000	500	1500	0	2500	1
180000	2	1	2	27	1	-1	-1	-1	-1	-1	0	3338	3333	3333	3333	3333	3338	3333	3333	3333	3333	3333	0
320000	1	1	1	47	-1	-1	-1	-1	-1	-1	9192	13920	4022	316	8420	316	13942	4022	316	8420	316	516	0
80000	2	2	2	34	0	0	0	2	2	2	25935	27210	28783	30003	29385	31401	2000	2338	2000	0	2500	0	0
10000	1	2	1	45	0	0	0	2	0	0	7139	8416	9815	9508	9754	10192	1400	1700	0	400	600	200	1
360000	2	2	2	39	-1	-1	-1	0	-1	-1	12865	4462	19560	8894	5329	998	4484	19623	222	5355	998	9004	0
450000	1	2	2	33	-2	-2	-2	-2	-2	-2	-14	2568	-387	-387	-387	113	2582	0	0	0	500	2515	0
330000	2	2	2	29	0	0	0	0	-1	-1	49549	133957	128212	79407	8875	49880	90000	3000	5000	8875	49880	519	0
60000	1	1	2	29	-1	2	-1	-1	2	2	546	255	464	1173	732	1023	0	500	1000	0	582	0	1
50000	2	3	2	26	0	0	0	0	0	0	9935	11029	12795	9983	10884	7666	1234	2000	297	1000	307	361	0
200000	1	2	1	38	0	0	0	0	0	0	152856	156104	158279	161934	165447	168802	6000	5000	5000	5000	4917	10000	0
120000	1	1	2	34	1	2	-1	-1	-2	-2	1278	639	621	-18	-18	-18	0	621	0	0	0	0	0
160000	2	1	1	37	-1	-1	-1	-1	-1	-1	316	316	0	316	632	0	316	0	316	632	0	316	0
110000	1	2	1	57	0	0	0	0	0	0	46132	41050	40091	40659	38529	30900	2306	2111	3009	1725	1500	0	0
70000	2	3	1	50	-2	-2	-1	0	0	0	27345	-1041	17571	17920	18296	18659	1041	18862	640	663	666	690	0
150000	2	3	2	28	0	0	0	0	0	0	101593	101886	101441	100829	101913	96704	4000	4032	3410	4000	3665	3050	0
610000	2	1	2	31	0	0	0	0	0	0	142764	126606	67887	58397	105301	105965	6540	2100	2150	50000	4700	2000	0
110000	2	1	2	25	0	0	0	0	0	0	92849	94766	93894	85723	86443	84011	4346	4075	3144	3238	3167	3202	0
80000	2	2	2	25	2	0	0	2	0	0	17330	19258	23416	22768	23243	23718	3000	4790	0	816	833	2000	1
170000	2	2	1	33	0	0	0	0	0	0	109863	79574	78440	80141	81862	84237	4380	3000	3000	3000	4000	4500	0
110000	2	1	2	30	-1	-1	-1	-1	-2	-2	1064	2001	3796	0	0	0	2007	3796	0	0	0	0	0
140000	2	1	1	51	0	0	0	0	0	0	56764	57950	57668	55024	55883	55744	2115	2004	1941	2073	1909	2132	0
70000	1	1	2	51	0	0	0	2	0	0	43048	43257	44115	41112	39922	40150	3000	4000	0	1500	3000	5000	0
260000	2	2	1	46	-2	-2	-2	-2	-2	-2	29484	28592	16869	12713	10420	12532	10000	3000	12713	10420	12532	12151	0
170000	1	3	2	38	0	0	0	0	0	0	21310	22957	24266	25556	29949	34434	2000	2000	2000	5000	5000	5000	0
50000	2	2	1	34	0	0	0	0	0	0	10821	11877	13656	14949	16567	16826	1221	2000	1500	2000	2000	4000	0
300000	2	3	1	34	0	0	0	0	0	0	280823	275303	271952	193403	187562	191069	11000	12000	7200	6500	6173	5500	1
150000	2	1	2	31	2	-1	-1	-1	-1	-1	390	390	390	4825	5202	780	390	390	4825	5202	780	0	1
50000	2	2	2	25	8	7	6	5	4	3	37647	37102	36238	36374	35229	34365	0	0	1000	0	0	3000	1
50000	2	2	1	26	1	-2	-1	0	0	0	0	0	1756	2719	4049	5176	0	1756	1000	1537	1200	2000	0
90000	2	1	2	25	2	0	0	0	0	-1	84710	87334	87862	18889	-783	73568	4000	3258	1000	0	77500	0	0
50000	1	2	2	26	0	0	0	0	0	0	48036	46787	42011	19147	2845	20041	2100	1227	383	2000	20000	649	1
500000	2	2	2	43	-1	0	0	0	0	0	43346	43976	39032	29092	22725	11590	4006	2383	1126	782	596	1572	0
470000	2	2	1	36	-1	0	0	-1	-1	-1	873	1593	1518	285	688	2100	1005	1000	285	688	2100	1014	0
230000	1	2	2	58	0	0	0	0	0	0	110163	112499	114837	116400	45643	51083	5600	5700	5000	1855	6400	0	0
140000	2	2	2	26	0	0	-1	-1	0	0	4113	6030	16025	24616	19458	20047	2000	16025	24616	1000	1000	1000	0
230000	2	2	1	30	2	0	-1	-1	-1	-1	9636	10152	1817	-828	6153	12663	1222	1837	0	7863	12675	2959	1
420000	2	2	2	31	0	0	0	0	-1	-1	25103	21330	16024	9603	2131	64507	1509	1067	3061	2210	64524	2324	0
30000	2	2	2	24	0	0	0	0	0	0	31319	31181	31540	31016	30531	30528	1564	1800	1100	1500	1500	3000	0
50000	2	2	2	52	1	2	0	0	0	2	43343	43360	23417	21969	21179	18711	1300	1400	920	1700	0	900	1
140000	2	2	2	24	-1	-1	-2	-1	-1	-2	197	0	0	233	0	0	0	0	233	0	0	0	0
260000	2	2	1	35	-1	-1	-1	-1	-1	0	7967	67650	6000	0	88348	85962	67650	6000	0	88348	5000	25000	0
90000	2	3	2	29	-1	2	-1	-1	-1	-2	19450	3123	2121	3113	0	0	0	3509	3113	0	0	0	0
240000	2	2	1	33	0	0	0	0	0	0	240878	233838	238067	242579	238245	233710	10000	11000	10000	10000	10000	8000	0
510000	2	1	2	35	-1	0	0	0	0	-1	2115	2116	5560	4535	3488	1116	1117	4560	91	69	1116	2115	0
110000	2	2	1	35	0	0	0	0	0	0	81665	46070	34419	36829	38080	40434	2460	2000	3000	2000	3000	5000	0
210000	2	1	2	28	-1	-1	-1	0	0	0	11442	3738	7526	10217	11737	8114	3738	7526	5000	5000	162	27760	0
220000	1	2	1	40	-1	-1	-2	-2	-2	-2	158	0	0	0	0	612	0	0	0	0	612	1863	0
200000	2	1	1	35	-2	-2	-2	-2	-2	-2	2257	4261	1265	2473	0	0	4266	1667	2473	0	0	0	0
360000	2	2	2	53	-1	-1	-1	-1	-1	-1	10733	15206	15000	9744	11114	8123	15206	15032	9769	11114	8123	8736	0
260000	1	1	2	44	-1	-1	-1	-1	-1	-1	316	316	316	316	316	466	316	316	316	316	466	316	0
20000	1	2	1	33	0	0	0	0	0	0	11026	9535	10510	10472	10140	10101	1174	1149	501	356	507	458	0
120000	2	2	1	32	0	0	0	0	0	0	113869	116110	111978	112822	114969	117949	5498	5500	4000	4300	5012	4003	0
50000	2	1	2	33	-1	2	-1	-1	-1	-2	7363	5180	31902	11044	0	0	39	32013	11079	0	0	0	0
60000	2	1	2	26	1	2	0	0	0	0	29649	21657	28736	42733	46404	37993	0	8000	15000	9000	10000	0	0
200000	1	1	2	26	-2	-2	-2	-2	-1	-1	12716	16164	1954	5297	1483	3393	16244	1963	3359	4849	3410	2994	0
20000	1	2	2	26	-1	-1	-1	-1	-2	-1	1438	1261	451	-810	-420	1320	1261	451	0	780	2130	0	0
50000	2	1	1	32	2	0	0	-1	0	-1	47858	49223	42589	639	4639	2312	2500	3000	7000	4000	2413	2000	1
50000	2	2	2	31	1	-2	-1	-1	-1	2	0	0	190	0	36059	32851	0	190	0	36059	0	2420	0
230000	1	1	2	29	0	0	2	2	2	0	40732	44563	42804	44020	41278	34672	5000	0	3000	0	3000	3000	0
50000	1	2	1	27	-1	-1	2	-1	-1	-1	819	3003	1677	1177	1313	1085	2184	5	1180	1316	1088	0	0
100000	2	1	2	28	2	2	2	2	2	2	79580	81493	82759	83609	85325	87096	3790	3200	3100	3200	3332	3280	1
210000	2	1	1	42	1	-2	-1	-1	-2	-2	0	0	2490	0	0	0	0	2490	0	0	0	0	1
230000	2	2	1	32	0	0	0	0	2	0	87764	73526	72376	76870	75211	76645	2630	2614	6000	0	3000	2800	1
500000	2	1	2	26	1	-2	-2	-2	-2	-2	31421	22150	0	0	0	0	22157	0	0	0	0	0	0
370000	2	1	2	38	-1	-1	-1	-1	-1	-1	929	328	0	1539	1815	0	328	0	1539	1815	0	0	0
230000	2	1	1	35	-1	-1	-1	-1	0	0	2648	191	1947	11674	16160	32519	200	1950	11692	10000	20000	6000	0
80000	1	2	2	29	0	0	0	0	0	0	11894	12287	12407	14360	14657	4129	1284	1047	2000	359	175	1000	0
60000	2	2	2	29	-1	0	0	0	-2	-2	55064	57833	9479	0	0	0	5000	1033	0	0	0	0	0
30000	2	2	2	51	1	2	2	0	0	0	25382	26480	25761	25964	26507	27249	1800	0	928	960	1181	967	0
70000	1	1	2	27	1	-1	-1	-1	-2	-1	-54	273	19	-254	-527	1096	600	19	0	0	1896	0	0
410000	1	1	2	32	-1	-1	-1	-2	-2	-2	5335	5369	-281	-281	-281	-281	5400	0	0	0	0	0	0
280000	2	3	1	40	1	-2	-2	-2	-2	-2	-288	-288	-288	-288	-288	2124	0	0	0	0	2412	0	0
50000	2	1	1	34	0	0	0	0	0	0	46750	48317	48282	18299	19323	20329	2320	1282	3299	1323	1329	1114	0
100000	2	2	1	30	0	0	0	0	0	0	97062	74352	75004	76705	78168	80347	2800	2700	5400	3500	3500	3200	0
230000	2	1	2	29	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
50000	2	1	2	22	0	0	0	-1	-1	-2	13801	9549	5385	7781	0	0	1372	1275	7900	0	0	0	0
100000	2	1	2	48	2	2	2	2	2	0	15355	17949	18158	18365	17932	18147	3164	800	800	0	662	3000	0
210000	2	2	1	35	0	0	0	0	0	0	37148	35754	34232	32331	30337	28012	2000	2000	2444	1342	1038	2000	0
400000	1	1	2	37	-1	-1	-1	-1	-2	-1	385	12695	1290	0	0	3058	13032	1290	0	0	3058	3768	0
20000	1	2	2	25	4	3	2	0	0	0	20610	20005	19331	19333	17363	16314	0	0	500	715	326	0	1
50000	2	3	1	44	-1	-1	-1	-1	0	0	2000	780	0	7472	10174	11104	780	0	7472	3000	1104	1000	0
230000	2	1	2	28	-1	-1	-1	-2	-2	-2	6666	6666	0	0	0	0	6666	0	0	0	0	0	0
220000	1	2	2	29	0	0	0	-2	-2	-2	31037	6244	0	0	0	0	3050	0	0	0	0	0	0
300000	2	1	1	36	0	0	0	0	-2	-1	25239	25001	20800	0	0	65755	1713	1000	0	0	65755	3000	0
80000	2	2	2	23	1	-1	2	-1	-1	-1	998	6858	1879	1145	7328	3703	6861	11	1146	7329	3704	426	0
20000	2	3	2	36	0	0	2	2	2	2	16754	18873	19862	19245	20532	19953	2400	1600	0	1600	209	0	1
190000	2	1	2	26	0	0	0	0	0	2	31061	32129	33142	33726	35758	35171	1750	1720	1300	2600	0	1400	0
160000	2	2	0	37	0	0	0	0	0	0	2694	38433	38870	28574	27268	28021	35888	1325	891	1000	1098	426	0
120000	2	1	3	44	0	0	2	0	0	0	70096	76446	73732	12329	12329	0	8100	0	247	0	0	0	0
700000	2	1	1	39	0	0	0	0	-2	-1	99259	102345	109636	326	2016	61707	5000	10000	326	2016	61707	17785	0
140000	2	1	2	24	1	-2	-2	-2	-1	-1	0	0	0	0	1086	0	0	0	0	1086	0	0	0
300000	2	3	1	29	-1	0	0	0	0	-1	24921	21333	16212	11304	11396	6138	2000	3000	0	5000	6202	0	0
120000	1	3	1	33	1	2	2	2	2	2	66055	67405	68405	69387	70727	72215	3000	2700	2700	2600	2800	0	1
280000	2	2	1	39	0	0	2	0	0	0	213738	228963	223810	158542	162244	108143	20300	0	5600	6300	4000	4000	0
70000	1	3	1	51	2	2	0	0	0	0	54968	51384	49734	50361	49185	47245	0	2100	1950	1900	2219	2100	1
20000	2	3	2	24	-1	-1	-1	-1	-1	2	4101	507	3042	0	8402	6204	507	3042	0	8402	0	4739	0
150000	2	2	1	45	-1	-1	-1	-1	-1	-1	2605	2605	4590	2605	2605	3795	2605	4590	2605	2605	3795	10675	0
60000	1	1	2	30	0	-1	0	0	0	0	15380	4116	19453	17912	18480	18848	4147	19435	1000	1000	1000	1000	0
200000	2	3	0	51	-1	-1	-1	-1	0	-1	780	0	390	780	390	390	0	390	780	0	390	390	0
50000	2	2	2	24	1	2	0	0	0	0	48861	48082	48614	26667	26036	26850	2000	2233	1083	1100	1400	3000	1
150000	1	2	1	50	-1	0	0	2	0	0	55336	58255	36260	35037	34631	63156	5085	4000	0	2000	30000	5000	0
20000	2	1	2	22	0	0	0	0	0	0	20243	20400	19583	19983	20196	19705	1410	1200	534	700	1000	0	0
40000	1	1	2	27	0	0	0	0	0	0	11058	11471	11776	12660	12660	12413	2000	1500	2330	2300	1000	2078	1
170000	2	2	2	33	1	-1	-1	-1	-2	-2	0	7042	2986	0	0	0	7042	2986	0	0	0	0	0
50000	2	2	1	24	1	2	0	0	0	2	27087	26372	26992	27693	29237	28607	0	1400	1100	2100	0	1000	0
10000	1	2	2	37	0	0	0	0	2	2	8755	8158	7540	8164	6963	5923	1167	1022	1036	0	2700	0	0
200000	2	2	1	58	-1	-1	-1	-1	-2	-1	3035	199602	720	0	0	1500	199646	720	0	0	1500	185652	0
50000	2	2	1	48	0	-1	-1	0	0	0	20944	4696	47225	16483	9343	9693	2360	49325	3001	1882	500	503	0
320000	1	1	2	28	-1	0	0	-1	0	0	2007	3477	3037	1633	3633	0	2000	1000	1633	2000	0	3000	0
20000	2	3	1	24	8	7	6	5	4	3	24310	23987	23353	22719	21796	21162	0	0	0	0	0	0	0
470000	2	2	1	27	0	0	0	0	-1	0	152478	62084	54551	14363	97440	90717	3001	4005	2021	97441	5001	5001	1
230000	2	3	2	30	-1	-1	-1	0	0	0	550	0	13013	14265	13659	0	0	13013	1252	3659	0	0	0
20000	2	1	2	23	0	0	0	0	0	-2	17246	16988	15973	18773	0	0	2000	2000	3000	0	0	0	0
30000	2	3	2	53	-1	-1	-1	-1	-1	-1	1598	2487	0	4810	2796	3245	2487	0	4810	2796	3245	7305	1
80000	2	2	2	23	2	2	2	2	2	2	22895	23837	24253	24562	25126	25476	1600	1100	1000	1100	906	0	0
110000	2	2	1	55	0	0	0	0	0	0	15069	16123	16850	17568	18133	18828	1600	1300	1000	1000	1000	1000	0
420000	1	2	1	34	0	0	0	0	0	0	88948	79783	80575	92982	98502	103200	30000	10575	15000	10000	10000	20000	0
500000	1	1	1	43	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
80000	2	2	2	22	1	2	0	0	0	0	79318	79459	79788	29069	26551	27109	2000	2201	2000	1000	1000	2000	0
350000	2	2	1	31	0	0	0	0	0	0	67648	68557	63179	57987	53948	39965	3039	2047	1750	1703	1721	784	0
30000	2	2	1	32	-2	-2	-2	-2	-2	-2	0	0	0	0	7463	6804	0	0	0	7463	6804	4985	0
110000	2	2	2	33	1	-2	-2	-2	-2	-1	0	0	0	0	0	150	0	0	0	0	300	102	1
500000	1	3	1	39	0	0	0	0	0	0	315201	332071	375070	354839	369532	367399	25000	50000	20000	19586	14122	12022	0
490000	2	1	1	38	-1	-1	-1	-1	-1	0	4290	4738	2803	6027	10722	8452	4738	2803	6027	10722	6000	1139	0
300000	2	2	1	34	-2	-2	-2	-2	-2	-2	205064	-86	-86	2014	-185	1815	0	0	2100	0	2000	5000	0
50000	1	2	3	42	2	0	0	2	0	0	47647	50232	50510	32177	29530	29789	3700	3700	0	1072	1500	1132	1
150000	1	3	1	37	4	4	4	3	2	0	151117	153787	150320	147989	143355	143131	6500	0	512	0	4388	4221	1
80000	2	3	1	57	-1	2	-1	0	0	0	726	726	15400	15000	15000	15000	0	15400	0	0	0	100	0
40000	2	2	2	23	0	0	0	2	2	6	20035	21406	24735	24050	43317	44059	2000	4000	0	20000	2000	0	0
30000	1	2	2	32	1	2	2	0	0	0	29095	30819	29214	29478	23384	22428	2500	0	910	1000	1000	1000	0
50000	1	1	1	37	0	0	-2	-2	-2	-2	30400	0	0	0	0	0	500	0	0	0	0	0	0
140000	2	2	2	23	0	0	0	0	0	0	44733	44144	44739	43455	43980	44614	2100	2027	1800	1600	1750	1700	0
50000	2	3	2	49	0	0	0	0	0	0	4987	6741	9366	8566	10066	0	2000	3000	1500	1500	0	0	0
30000	2	2	2	25	-2	-2	-2	-2	-2	-2	26957	26269	17036	27497	16098	7300	1333	2256	27497	787	200	0	0
40000	2	1	2	29	0	0	2	2	2	2	26461	29425	30145	29361	33893	34487	3400	1500	0	5000	1300	0	1
100000	2	3	1	43	2	2	2	2	2	2	50485	51582	52141	52691	54199	53176	2200	2000	2000	2500	0	4500	1
130000	1	2	2	29	0	0	0	0	0	0	131041	133698	131990	127512	128683	129669	7000	5151	4464	5000	4702	8000	0
20000	2	2	2	27	0	0	0	0	0	0	20218	19194	20112	19712	19712	6321	1482	1400	0	0	0	0	0
50000	1	1	2	26	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
260000	1	1	1	41	-2	-2	-1	0	0	0	1086	2853	38836	45087	47201	46199	3552	38836	20000	15000	15000	10000	0
30000	2	3	2	52	2	2	7	7	7	7	2450	2450	2450	2450	2450	2450	0	0	0	0	0	0	1
10000	2	2	1	31	0	0	0	0	0	0	15915	9050	9901	9975	9736	8703	2330	2200	1000	333	311	322	0
200000	1	1	2	32	0	0	0	0	0	0	43515	44557	45574	49022	47459	49666	1739	1756	2662	1726	3000	2500	0
30000	2	2	1	46	0	0	0	0	0	0	28234	28874	29437	27738	27268	27409	1484	1436	1120	995	989	800	0
180000	2	2	2	35	0	0	0	-2	-2	-2	119333	123150	0	0	0	0	6000	0	0	0	0	0	0
100000	1	1	2	35	0	0	-2	-2	-2	-2	29109	0	0	0	0	0	0	0	0	0	0	47970	0
140000	2	2	1	39	0	0	0	0	0	0	105192	90337	74510	73876	76180	78400	3000	6000	4000	4000	4000	3000	0
290000	2	2	2	34	0	0	0	0	0	0	310403	315048	314085	317631	315820	305498	12012	12012	11016	11088	12031	12031	0
20000	2	2	3	52	0	0	0	0	0	0	14591	15616	16628	16958	17314	17664	1265	1277	607	629	638	641	0
